#OTU Table	T7-PEsoilR-25-1	T7-PEsoilR-25-2	T7-PEsoilR-25-3	T7-PEsoilR-25-4	T7-PEsoilR-25-5	T7-PEsoilR-25-6	T7-PEsoilR-50-2	T7-PEsoilR-50-3	T7-PEsoilR-50-4	T7-PEsoilR-50-5	T7-PEsoilR-50-6	T7-PEsoilR-noAs-1	T7-PEsoilR-noAs-2	T7-PVsoilR-25-1	T7-PVsoilR-25-2	T7-PVsoilR-25-3	T7-PVsoilR-25-4	T7-PVsoilR-25-5	T7-PVsoilR-25-6	T7-PVsoilR-50-1	T7-PVsoilR-50-3	T7-PVsoilR-50-4	T7-PVsoilR-50-5	T7-PVsoilR-50-6	T7-PVsoilR-noAs-1	T7-PVsoilR-noAs-3
sp190	19	6	19	31	27	20	0	0	22	19	19	26	11	11	13	14	0	0	35	15	13	19	38	49	52	44
sp191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp193	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	22	0	0	0	0	9	0	30
sp196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82
sp199	21	0	0	0	0	0	13	0	0	20	19	24	0	0	0	0	0	0	0	0	0	0	0	33	46	88
sp201	7	21	23	11	22	12	20	20	19	12	28	20	63	26	0	21	0	0	0	25	2	14	23	37	46	42
sp202	112	90	0	3	124	81	63	144	0	0	0	4	149	8	0	4	0	0	0	0	0	0	0	0	0	3
sp203	27	49	26	39	60	32	22	23	21	27	36	46	39	22	8	31	0	0	0	0	22	0	21	24	31	42
sp204	0	0	0	0	89	0	0	0	0	0	0	0	0	33	0	32	0	0	0	0	0	0	0	0	136	0
sp205	0	0	21	20	0	0	33	18	0	0	0	23	33	0	0	0	0	0	0	0	0	0	74	0	0	37
sp206	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	19	0	0	18	0	33	37	13	14	0	37
sp207	0	0	0	0	0	0	0	0	52	0	41	0	0	0	0	56	0	0	222	0	0	0	98	0	0	101
sp208	0	0	0	0	17	25	52	25	31	17	28	49	22	31	18	75	0	0	0	0	0	0	0	0	24	44
sp209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1143	0	0	0	0	0	0	0	0
sp210	33	0	52	0	0	31	19	27	0	0	0	77	65	0	0	0	0	0	0	0	0	0	0	0	51	70
sp212	0	0	0	0	0	0	0	0	0	0	0	0	57	98	0	73	0	0	0	0	16	0	0	0	0	42
sp213	0	0	0	0	0	0	21	35	0	115	0	60	44	0	0	0	0	0	0	0	0	43	0	0	961	1017
